# This file is generated from data from 
# http://www.viewfinderpanoramas.org/ (Alps)  and
# http://www.alpin-koordinaten.de/    (Nepal)
#
# local additions
#
loc_1,PARSEIERSPITZE,,47.174257,10.478691,3036
#
# Thu Feb 26 12:00:46 CET 2009
# and is included in the gipfel tarball with the kind permission of
# Jonathan de Ferranti and www.alpin-koordinaten.de
#
# Nepal peaks from http://www.alpin-koordinaten.de
#
AT,Aeussere Einoede,,46.692490,13.824200,,
AT,Affental,,47.240500,15.587100,,
AT,Aflenz an der Sulm,,46.750000,15.533300,,
AT,Afling,,47.250000,11.300000,,
AT,Afritz,,46.726300,13.800200,,
AT,Aggsbach,,47.966710,13.949990,,
AT,Aggsbach,,48.500000,15.033300,,
AT,Aggsbach Markt,,48.294000,15.403800,,
AT,Aggstein,,48.306090,15.411900,,
AT,Aglasberg,,48.426900,14.758990,,
AT,Aglassing,,47.960000,12.923900,,
AT,Agoritschach,,46.545500,13.703900,,
AT,Agsdorf,,46.733290,14.150000,,
AT,Agsdorf-Gegend,,46.734700,14.142800,,
AT,Ahorn,,47.711990,13.603100,,
AT,Ahorn,,48.523790,14.174090,,
AT,Ahrenberg,,48.329190,15.796290,,
AT,Aibl,,46.681400,15.226200,,
AT,Aich,,46.583300,14.050000,,
AT,Aich,,46.629390,14.815300,,
AT,Aich,,46.709890,14.115000,,
AT,Aich,,46.849990,14.216690,,
AT,Aich,,47.847300,13.523100,,
AT,Aich,,48.060400,13.730490,,
AT,Aich,,48.389990,14.433190,,
AT,Aichach,,46.697490,13.606390,,
AT,Aichau,,48.255400,15.259690,,
AT,Aichberg,,46.816690,14.733300,,
AT,Aichberg,,48.256900,14.099690,,
AT,Aichberg,,48.294400,14.240390,,
AT,Aichberg,,48.299990,15.466690,,
AT,Aichberg,,48.332090,13.449390,,
AT,Aichdorf,,47.183300,14.699990,,
AT,Aichegg,,47.049990,15.199990,,
AT,Aichereben,,47.844000,13.497490,,
AT,Aichet,,48.180700,13.360100,,
AT,Aichet,,48.356090,13.686590,,
AT,Aigelsbach,,48.095100,15.535390,,
AT,Aigen,,46.676890,12.920590,,
AT,Aigen,,46.766700,15.283300,,
AT,Aigen,,46.816690,15.983300,,
AT,Aigen,,47.516700,16.277790,,
AT,Aigen,,47.566700,14.399990,,
AT,Aigen,,47.700000,13.533300,,
AT,Aigen,,47.899390,16.121090,,
AT,Aigen,,48.042590,13.906590,,
AT,Aigen,,48.140490,15.745590,,
AT,Aigen,,48.263800,13.867000,,
AT,Aigen,,48.324400,14.397600,,
AT,Aigen,,48.599990,14.933300,,
AT,Aigendorf,,48.234000,13.886690,,
AT,Aigenfliessen,,48.133290,14.516690,,
AT,Aigertsham,,48.161490,13.283200,,
AT,Aiglern,,47.533290,14.166700,,
AT,Ainet,,46.866100,12.701390,,
AT,Aist,,48.225400,14.599200,,
AT,Aistersheim,,48.186800,13.741800,,
AT,Aisthofen,,48.258490,14.592200,,
AT,Albeck Obere Schattseite,,46.816690,14.100000,,
AT,Albeck Untere Schattseite,,46.816690,14.116700,,
AT,Albenedt,,48.004190,13.973790,,
AT,Albenoedt,,48.586000,13.850600,,
AT,Albern,,46.677790,14.155800,,
AT,Albern,,46.883300,14.016690,,
AT,Albern,,48.237300,14.550100,,
AT,Albern,,48.605190,14.925390,,
AT,Albernberg,,48.543300,13.801900,,
AT,Alberndorf,,48.866700,15.466690,,
AT,Alberndorf in der Riedmark,,48.406100,14.414390,,
AT,Alberschwende,,47.450190,9.831500,,
AT,Albersdorf,,47.121700,15.698300,,
AT,Albingdorf,,48.458300,14.484490,,
AT,Albrechts,,48.733290,15.000000,,
AT,Albrechtsberg,,48.182990,13.105800,,
